                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.0141,                0.66498,                 1.1318,                0.95204,                0.88951,                0.95546,                0.77463,                0.72382,                0.40085,                0.94971,               0.004258,               0.004258,               0.004258
                     61,                  1.013,                0.66489,                 1.1251,                0.95164,                 0.8909,                0.95576,                0.77488,                0.72358,                0.40018,                0.94937,               0.004159,               0.004159,               0.004159
                     62,                 1.0041,                0.65593,                 1.1188,                0.95106,                 0.8918,                0.95601,                  0.775,                0.72342,                0.39922,                0.94878,                0.00406,                0.00406,                0.00406
                     63,                 1.0057,                0.65884,                 1.1224,                0.95174,                0.89159,                0.95601,                0.77518,                 0.7235,                0.39858,                0.94843,               0.003961,               0.003961,               0.003961
                     64,                 1.0011,                0.65338,                 1.1181,                0.95167,                 0.8915,                0.95589,                0.77515,                0.72363,                0.39808,                0.94821,               0.003862,               0.003862,               0.003862
                     65,                0.99737,                0.64858,                 1.1207,                0.95154,                0.89095,                0.95595,                0.77485,                0.72364,                 0.3976,                0.94811,               0.003763,               0.003763,               0.003763
                     66,                0.99162,                0.64455,                 1.1151,                 0.9513,                0.89098,                0.95615,                0.77491,                0.72358,                0.39695,                0.94794,               0.003664,               0.003664,               0.003664
                     67,                0.99724,                0.64661,                 1.1173,                0.95118,                0.89095,                0.95611,                0.77505,                0.72325,                0.39616,                0.94758,               0.003565,               0.003565,               0.003565
                     68,                0.99079,                0.64268,                 1.1077,                0.95137,                0.89108,                0.95623,                0.77538,                 0.7231,                0.39552,                0.94713,               0.003466,               0.003466,               0.003466
                     69,                 0.9868,                0.63942,                 1.1103,                0.95005,                0.89258,                 0.9564,                0.77536,                0.72265,                0.39443,                0.94678,               0.003367,               0.003367,               0.003367
                     70,                0.98576,                0.63726,                 1.1126,                0.95018,                0.89219,                0.95675,                0.77541,                0.72261,                0.39352,                0.94655,               0.003268,               0.003268,               0.003268
                     71,                0.98738,                0.63609,                 1.1087,                0.94907,                0.89279,                0.95684,                0.77577,                 0.7225,                0.39246,                0.94615,               0.003169,               0.003169,               0.003169
                     72,                0.98192,                0.63058,                 1.1096,                0.94963,                0.89272,                0.95691,                0.77605,                0.72252,                0.39186,                0.94608,                0.00307,                0.00307,                0.00307
                     73,                 0.9795,                0.63061,                 1.1056,                0.95106,                0.89211,                0.95695,                0.77617,                0.72232,                0.39106,                0.94591,               0.002971,               0.002971,               0.002971
                     74,                0.97116,                0.62639,                 1.1034,                0.94931,                0.89393,                0.95729,                0.77599,                0.72227,                 0.3903,                 0.9458,               0.002872,               0.002872,               0.002872
                     75,                0.97544,                0.62478,                 1.1032,                0.94898,                0.89421,                0.95742,                0.77616,                0.72209,                 0.3896,                0.94553,               0.002773,               0.002773,               0.002773
                     76,                0.96907,                0.61983,                 1.1011,                0.94856,                0.89406,                0.95758,                0.77613,                0.72188,                0.38886,                0.94531,               0.002674,               0.002674,               0.002674
                     77,                0.96503,                0.61554,                 1.0939,                0.94821,                0.89514,                0.95779,                0.77644,                0.72153,                0.38791,                0.94475,               0.002575,               0.002575,               0.002575
                     78,                0.96409,                0.61524,                 1.0997,                0.95007,                0.89374,                0.95789,                0.77662,                0.72148,                0.38737,                0.94461,               0.002476,               0.002476,               0.002476
                     79,                0.96411,                0.61439,                  1.099,                0.94967,                 0.8945,                0.95797,                 0.7771,                 0.7214,                0.38651,                0.94447,               0.002377,               0.002377,               0.002377
                     80,                0.95487,                0.60663,                 1.0946,                0.95122,                0.89313,                0.95799,                0.77702,                0.72121,                0.38555,                0.94431,               0.002278,               0.002278,               0.002278
                     81,                0.95035,                0.60111,                 1.0918,                0.95072,                0.89354,                0.95811,                  0.777,                0.72105,                0.38478,                0.94431,               0.002179,               0.002179,               0.002179
                     82,                0.95253,                0.60403,                 1.0933,                0.95032,                0.89388,                0.95803,                0.77707,                 0.7212,                 0.3844,                0.94446,                0.00208,                0.00208,                0.00208
                     83,                0.94743,                    0.6,                  1.089,                 0.9522,                0.89244,                0.95813,                0.77722,                0.72126,                0.38386,                0.94432,               0.001981,               0.001981,               0.001981
                     84,                0.94611,                0.59684,                 1.0893,                0.95124,                0.89299,                0.95821,                 0.7772,                0.72116,                0.38334,                0.94417,               0.001882,               0.001882,               0.001882
                     85,                0.94004,                0.59057,                  1.083,                0.95124,                 0.8932,                0.95824,                0.77719,                0.72126,                0.38297,                0.94406,               0.001783,               0.001783,               0.001783
                     86,                0.93747,                0.58843,                 1.0798,                0.94564,                0.89955,                0.95835,                0.77751,                0.72136,                0.38246,                0.94383,               0.001684,               0.001684,               0.001684
                     87,                 0.9348,                0.58705,                 1.0816,                0.94802,                0.89679,                0.95838,                0.77747,                0.72138,                0.38213,                0.94357,               0.001585,               0.001585,               0.001585
                     88,                 0.9284,                0.57947,                 1.0768,                0.94811,                0.89704,                0.95848,                0.77755,                0.72136,                 0.3816,                0.94351,               0.001486,               0.001486,               0.001486
                     89,                0.92583,                 0.5768,                 1.0756,                0.94882,                0.89627,                0.95847,                0.77764,                0.72129,                0.38125,                0.94335,               0.001387,               0.001387,               0.001387
                     90,                0.92319,                0.57471,                  1.072,                0.94818,                0.89718,                0.95856,                0.77757,                0.72143,                0.38083,                0.94323,               0.001288,               0.001288,               0.001288
                     91,                0.91365,                 0.4888,                 1.0635,                 0.9491,                0.89593,                0.95871,                0.77771,                0.72163,                0.38086,                 0.9431,               0.001189,               0.001189,               0.001189
                     92,                0.90337,                 0.4829,                 1.0666,                0.95151,                0.89384,                0.95873,                0.77775,                0.72178,                0.38044,                0.94323,                0.00109,                0.00109,                0.00109
                     93,                0.89784,                0.47749,                 1.0596,                0.95215,                0.89293,                0.95866,                0.77795,                0.72184,                0.38031,                0.94336,               0.000991,               0.000991,               0.000991
                     94,                0.88881,                0.47013,                 1.0562,                0.95118,                0.89422,                0.95858,                0.77807,                0.72188,                0.37991,                0.94339,               0.000892,               0.000892,               0.000892
                     95,                0.88438,                 0.4651,                 1.0493,                0.95198,                0.89374,                0.95831,                0.77821,                0.72188,                0.37986,                0.94306,               0.000793,               0.000793,               0.000793
                     96,                0.87952,                0.46406,                 1.0492,                 0.9546,                0.89309,                 0.9582,                 0.7781,                0.72195,                0.37964,                0.94316,               0.000694,               0.000694,               0.000694
                     97,                0.87494,                0.45885,                 1.0511,                0.95469,                0.89313,                0.95814,                0.77812,                0.72203,                0.37957,                0.94345,               0.000595,               0.000595,               0.000595
                     98,                0.86543,                0.45378,                 1.0455,                0.95556,                0.89197,                0.95799,                0.77833,                0.72215,                0.37933,                0.94337,               0.000496,               0.000496,               0.000496
                     99,                0.86339,                0.45076,                 1.0451,                0.95644,                0.89215,                0.95804,                0.77815,                0.72219,                0.37892,                0.94345,               0.000397,               0.000397,               0.000397
                    100,                0.86126,                0.44809,                 1.0417,                0.95682,                0.89126,                0.95761,                0.77803,                0.72228,                0.37877,                0.94352,               0.000298,               0.000298,               0.000298
